sno,idAdmin,idSupplier,idProduct,quantity,date
1,1,1,1,70,2022-12-01
2,1,1,2,50,2022-12-01
3,1,1,3,30,2022-12-02
4,1,2,4,40,2022-12-02
5,1,2,5,60,2022-12-03
6,1,2,6,20,2022-12-03
7,1,3,7,35,2022-12-04
8,1,3,8,15,2022-12-04
9,1,3,9,45,2022-12-04
10,1,4,10,50,2022-12-04
11,1,5,11,30,2022-12-05
12,1,5,12,40,2022-12-05
13,1,5,13,50,2022-12-05
14,1,6,14,60,2022-12-06
15,1,6,15,35,2022-12-06
16,1,6,16,25,2022-12-06
17,1,7,17,20,2022-12-06
18,1,7,18,15,2022-12-07
19,1,7,19,10,2022-12-07
20,1,8,20,5,2022-12-07
21,1,9,21,50,2022-12-08
22,1,9,22,30,2022-12-08
23,1,9,23,40,2022-12-08
24,1,10,24,20,2022-12-08
25,1,10,25,25,2022-12-08
26,1,10,26,50,2022-12-09
27,1,11,27,45,2022-12-09
28,1,11,28,35,2022-12-10
29,1,11,29,25,2022-12-10
30,1,12,30,15,2022-12-11
31,1,13,31,30,2022-12-11
32,1,13,32,40,2022-12-11
33,1,14,33,50,2022-12-11
34,1,14,34,60,2022-12-11
35,1,14,35,70,2022-12-12
36,1,15,36,60,2022-12-12
37,1,15,37,20,2022-12-13
38,1,16,38,30,2022-12-13
39,1,16,39,40,2022-12-13
40,1,16,40,50,2022-12-13
41,1,17,41,20,2022-12-13
42,1,17,42,30,2022-12-14
43,1,17,43,15,2022-12-14
44,1,18,44,40,2022-12-14
45,1,18,45,25,2022-12-15
46,1,18,46,35,2022-12-16
47,1,19,47,50,2022-12-16
48,1,19,48,20,2022-12-16
49,1,19,49,45,2022-12-16
50,1,20,50,10,2022-12-16
51,1,21,51,50,2022-12-17
52,1,22,52,90,2022-12-17
53,1,22,53,200,2022-12-18
54,1,22,54,250,2022-12-18
55,1,23,55,200,2022-12-18
56,1,23,56,150,2022-12-18
57,1,23,57,300,2022-12-19
58,1,24,58,200,2022-12-19
59,1,24,59,100,2022-12-19
60,1,21,60,150,2022-12-20
61,1,25,61,350,2022-12-20
62,1,25,62,200,2022-12-20
63,1,25,63,300,2022-12-20
64,1,26,64,400,2022-12-21
65,1,26,65,500,2022-12-21
66,1,26,66,300,2022-12-22
67,1,27,67,200,2022-12-22
68,1,27,68,100,2022-12-22
69,1,28,69,300,2022-12-22
70,1,28,70,150,2022-12-23
71,1,29,71,200,2022-12-23
72,1,29,72,300,2022-12-23
73,1,29,73,400,2022-12-23
74,1,30,74,100,2022-12-24
75,1,30,75,300,2022-12-24
76,1,30,76,200,2022-12-25
77,1,31,77,150,2022-12-25
78,1,31,78,200,2022-12-25
79,1,32,79,250,2022-12-25
80,1,32,80,100,2022-12-26
81,1,33,81,500,2022-12-26
82,1,33,82,400,2022-12-27
83,1,34,83,300,2022-12-27
84,1,34,84,200,2022-12-27
85,1,35,85,200,2022-12-28
86,1,35,86,250,2022-12-28
87,1,35,87,300,2022-12-29
88,1,36,88,400,2022-12-29
89,1,36,89,200,2022-12-29
90,1,36,90,300,2022-12-29
91,1,37,91,300,2022-12-29
92,1,37,92,250,2022-12-29
93,1,38,93,300,2022-12-29
94,1,38,94,400,2022-12-30
95,1,38,95,200,2022-12-30
96,1,39,96,300,2022-12-30
97,1,39,97,400,2022-12-31
98,1,39,98,200,2022-12-31
99,1,40,99,200,2022-12-31
100,1,40,100,300,2022-12-31
101,1,1,1,30,2023-01-03
102,1,10,25,35,2023-01-03
103,1,21,51,50,2023-01-05
104,1,19,49,35,2023-01-06
105,1,22,52,60,2023-01-07
106,1,37,92,150,2023-01-08
107,1,38,93,200,2023-01-09
108,1,25,61,150,2023-01-10
109,1,39,98,300,2023-01-11
110,1,27,68,300,2023-01-12
